molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL545057,9.0,IC50,=,CCN(CC)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,26
CHEMBL3787502,9.27,IC50,=,COc1ccc2c(c1)C[C@@H](NC(=O)N(C)C)CC2,18
CHEMBL2392425,9.33,IC50,=,NS(=O)(=O)c1ccc(/N=C2/NC(=O)/C(=C/c3cc(O)ccc3Br)S2)cc1,26
CHEMBL23684,10.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,23
CHEMBL310291,10.0,IC50,=,CC(C)(C)OC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,21
CHEMBL2112278,10.0,Ki,=,C[C@H]1O[C@@H](Nc2ccc(S(N)(=O)=O)cc2)[C@@H](O)[C@H](O)[C@H]1O,21
CHEMBL54235,10.0,Ki,=,NS(=O)(=O)c1ccc(NC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,23
CHEMBL52227,10.0,Ki,=,NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1,27
CHEMBL539259,10.0,IC50,=,CC(C)(C)NCc1cc2cc(S(N)(=O)=O)sc2s1.Cl,19
CHEMBL85470,10.0,IC50,=,CC(=O)OCc1ccc2sc(S(N)(=O)=O)cc2c1,18
CHEMBL106683,10.0,IC50,=,NS(=O)(=O)c1ccc(SCCCO)s1,14
CHEMBL342622,10.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,25
CHEMBL23174,10.0,Ki,=,NS(=O)(=O)c1ccc(CCNC(=O)c2cc3ccccc3oc2=O)cc1,26
CHEMBL508578,10.0,IC50,=,NS(=O)(=O)c1nnc(NC(=O)c2nn(-c3cccc(/N=N/c4c(O)ccc5ccccc45)c3)c(-c3ccccc3)c2C(=O)c2ccccc2)s1,50
CHEMBL419553,10.0,Ki,=,CCCC(CCC)C(=O)/N=c1/sc(S(N)(=O)=O)nn1C,20
CHEMBL342679,10.0,Ki,=,NS(=O)(=O)c1cccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c1,25
CHEMBL513659,10.0,IC50,=,NS(=O)(=O)c1nnc(NC(=O)c2nn(-c3cccc(O)c3)c(-c3ccccc3)c2C(=O)c2ccccc2)s1,38
CHEMBL50128,10.0,Ki,=,NS(=O)(=O)c1nnc(NC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)s1,23
CHEMBL108971,10.0,Ki,=,NS(=O)(=O)c1nnc(NC(=O)C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)s1,22
CHEMBL111336,10.0,Ki,=,COc1cc(C(=O)Nc2nnc(S(N)(=O)=O)s2)cc(OC)c1OC,24
